congress,southern,Dem.med,Rep.med
102,All States,-0.32,0.3495
103,Border States,-0.191,0.418
103,Northern States,-0.3825,0.347
103,Southern States,-0.2455,0.40700000000000003
103,All States,-0.3385,0.377
104,Border States,-0.196,0.41200000000000003
104,Northern States,-0.411,0.366
104,Southern States,-0.277,0.425
104,All States,-0.3805,0.3845
105,Border States,-0.265,0.368
105,Northern States,-0.404,0.375
105,Southern States,-0.293,0.423
105,All States,-0.3835,0.39
106,Border States,-0.265,0.364
106,Northern States,-0.402,0.371
106,Southern States,-0.2975,0.424
106,All States,-0.384,0.391
107,Border States,-0.26249999999999996,0.383
107,Northern States,-0.402,0.3725
107,Southern States,-0.302,0.434
107,All States,-0.3845,0.4025
108,Border States,-0.232,0.362
108,Northern States,-0.404,0.374
108,Southern States,-0.303,0.445
108,All States,-0.3825,0.403
109,Border States,-0.2895,0.3805
109,Northern States,-0.404,0.375
109,Southern States,-0.304,0.4555
109,All States,-0.392,0.409
110,Border States,-0.347,0.398
110,Northern States,-0.396,0.396
110,Southern States,-0.2975,0.479
110,All States,-0.379,0.426
111,Border States,-0.347,0.398
111,Northern States,-0.379,0.415
111,Southern States,-0.2975,0.518
111,All States,-0.349,0.448
112,Border States,-0.3625,0.448
112,Northern States,-0.399,0.40900000000000003
112,Southern States,-0.401,0.527
112,All States,-0.398,0.467
113,Border States,-0.453,0.45
113,Northern States,-0.3895,0.436
113,Southern States,-0.401,0.533
113,All States,-0.394,0.49
114,Border States,-0.453,0.473
114,Northern States,-0.391,0.436
114,Southern States,-0.401,0.548
114,All States,-0.3965,0.49
115,Border States,-0.453,0.478
115,Northern States,-0.389,0.436
115,Southern States,-0.4,0.5585
115,All States,-0.3935,0.497
116,Border States,-0.4155,0.478
116,Northern States,-0.371,0.4465
116,Southern States,-0.398,0.565
116,All States,-0.3805,0.505
117,Border States,-0.378,0.46399999999999997
117,Northern States,-0.375,0.45
117,Southern States,-0.4005,0.5654999999999999
117,All States,-0.3825,0.499
118,Border States,-0.453,0.469
118,Northern States,-0.372,0.4505
118,Southern States,-0.407,0.5725
118,All States,-0.389,0.4995
119,Border States,-0.5,0.5285
119,Northern States,-0.3685,0.4575
119,Southern States,-0.4275,0.5874999999999999
119,All States,-0.396,0.526
