CountyCode,CountyName,DistrictCode,DistrictName,Teachers/Admins,RetentionPct_District,RetentionPct_State
19,Hunterdon,0020,Alexandria Township School District,Administrators,66.7,86.6
19,Hunterdon,0020,Alexandria Township School District,Teachers,92.0,88.4
19,Hunterdon,0370,Bethlehem Township School District,Administrators,66.7,86.6
19,Hunterdon,0370,Bethlehem Township School District,Teachers,79.5,88.4
19,Hunterdon,0430,Bloomsbury Borough School District,Administrators,100.0,86.6
19,Hunterdon,0430,Bloomsbury Borough School District,Teachers,76.5,88.4
19,Hunterdon,0670,Califon Borough School District,Administrators,100.0,86.6
19,Hunterdon,0670,Califon Borough School District,Teachers,88.9,88.4
19,Hunterdon,0910,Clinton-Glen Gardner School District,Administrators,100.0,86.6
19,Hunterdon,0910,Clinton-Glen Gardner School District,Teachers,97.4,88.4
19,Hunterdon,0920,Clinton Township School District,Administrators,45.5,86.6
19,Hunterdon,0920,Clinton Township School District,Teachers,74.8,88.4
19,Hunterdon,1040,Delaware Township School District,Administrators,100.0,86.6
19,Hunterdon,1040,Delaware Township School District,Teachers,83.0,88.4
19,Hunterdon,1050,Delaware Valley Regional High School District,Administrators,80.0,86.6
19,Hunterdon,1050,Delaware Valley Regional High School District,Teachers,92.2,88.4
19,Hunterdon,1160,East Amwell Township School District,Administrators,100.0,86.6
19,Hunterdon,1160,East Amwell Township School District,Teachers,90.7,88.4
19,Hunterdon,1376,South Hunterdon Regional School District,Administrators,77.8,86.6
19,Hunterdon,1376,South Hunterdon Regional School District,Teachers,92.0,88.4
19,Hunterdon,1510,Flemington-Raritan Regional School District,Administrators,95.2,86.6
19,Hunterdon,1510,Flemington-Raritan Regional School District,Teachers,89.4,88.4
19,Hunterdon,1600,Franklin Township School District,Administrators,100.0,86.6
19,Hunterdon,1600,Franklin Township School District,Teachers,86.7,88.4
19,Hunterdon,1680,Frenchtown Borough School District,Administrators,100.0,86.6
19,Hunterdon,1680,Frenchtown Borough School District,Teachers,81.3,88.4
19,Hunterdon,1970,Hampton Borough School District,Administrators,25.0,86.6
19,Hunterdon,1970,Hampton Borough School District,Teachers,100.0,88.4
19,Hunterdon,2140,High Bridge Borough School District,Administrators,60.0,86.6
19,Hunterdon,2140,High Bridge Borough School District,Teachers,77.1,88.4
19,Hunterdon,2220,Holland Township School District,Administrators,100.0,86.6
19,Hunterdon,2220,Holland Township School District,Teachers,92.9,88.4
19,Hunterdon,2300,Hunterdon Central Regional High School District,Administrators,100.0,86.6
19,Hunterdon,2300,Hunterdon Central Regional High School District,Teachers,96.0,88.4
19,Hunterdon,2308,Hunterdon County Vocational School District,Administrators,75.0,86.6
19,Hunterdon,2308,Hunterdon County Vocational School District,Teachers,61.5,88.4
19,Hunterdon,2450,Kingwood Township School District,Administrators,100.0,86.6
19,Hunterdon,2450,Kingwood Township School District,Teachers,75.7,88.4
19,Hunterdon,2590,Lebanon Borough School District,Administrators,100.0,86.6
19,Hunterdon,2590,Lebanon Borough School District,Teachers,93.8,88.4
19,Hunterdon,2600,Lebanon Township School District,Administrators,100.0,86.6
19,Hunterdon,2600,Lebanon Township School District,Teachers,87.7,88.4
19,Hunterdon,3180,Milford Borough School District,Administrators,100.0,86.6
19,Hunterdon,3180,Milford Borough School District,Teachers,72.7,88.4
19,Hunterdon,3660,North Hunterdon-Voorhees Regional High School District,Administrators,90.5,86.6
19,Hunterdon,3660,North Hunterdon-Voorhees Regional High School District,Teachers,92.3,88.4
19,Hunterdon,4350,Readington Township School District,Administrators,91.7,86.6
19,Hunterdon,4350,Readington Township School District,Teachers,85.4,88.4
19,Hunterdon,5180,Tewksbury Township School District,Administrators,75.0,86.6
19,Hunterdon,5180,Tewksbury Township School District,Teachers,83.9,88.4
19,Hunterdon,5270,Union Township School District,Administrators,100.0,86.6
19,Hunterdon,5270,Union Township School District,Teachers,93.0,88.4
21,Mercer,1245,East Windsor Regional School District,Administrators,79.4,86.6
21,Mercer,1245,East Windsor Regional School District,Teachers,87.9,88.4
21,Mercer,1430,Ewing Township School District,Administrators,95.5,86.6
21,Mercer,1430,Ewing Township School District,Teachers,87.0,88.4
21,Mercer,1950,Hamilton Township Public School District,Administrators,81.5,86.6
21,Mercer,1950,Hamilton Township Public School District,Teachers,91.5,88.4
21,Mercer,2280,Hopewell Valley Regional School District,Administrators,91.7,86.6
21,Mercer,2280,Hopewell Valley Regional School District,Teachers,90.6,88.4
21,Mercer,2580,Lawrence Township Public School District,Administrators,84.6,86.6
21,Mercer,2580,Lawrence Township Public School District,Teachers,88.5,88.4
21,Mercer,3103,Mercer County Special Services School District,Administrators,69.2,86.6
21,Mercer,3103,Mercer County Special Services School District,Teachers,82.4,88.4
21,Mercer,3105,Area Vocational Technical School District of Mercer County,Administrators,66.7,86.6
21,Mercer,3105,Area Vocational Technical School District of Mercer County,Teachers,81.8,88.4
21,Mercer,4255,Princeton Public School District,Administrators,85.7,86.6
21,Mercer,4255,Princeton Public School District,Teachers,92.3,88.4
21,Mercer,5210,Trenton Public School District,Administrators,84.4,86.6
21,Mercer,5210,Trenton Public School District,Teachers,89.3,88.4
21,Mercer,5510,Robbinsville Public School District,Administrators,78.9,86.6
21,Mercer,5510,Robbinsville Public School District,Teachers,87.7,88.4
21,Mercer,5715,West Windsor-Plainsboro Regional School District,Administrators,92.0,86.6
21,Mercer,5715,West Windsor-Plainsboro Regional School District,Teachers,94.1,88.4
23,Middlesex,0750,Carteret Public School District,Administrators,89.5,86.6
23,Middlesex,0750,Carteret Public School District,Teachers,92.0,88.4
23,Middlesex,0970,Cranbury Township School District,Administrators,50.0,86.6
23,Middlesex,0970,Cranbury Township School District,Teachers,84.2,88.4
23,Middlesex,1140,Dunellen Public School District,Administrators,70.0,86.6
23,Middlesex,1140,Dunellen Public School District,Teachers,81.6,88.4
23,Middlesex,1170,East Brunswick Township School District,Administrators,87.0,86.6
23,Middlesex,1170,East Brunswick Township School District,Teachers,85.4,88.4
23,Middlesex,1290,Edison Township School District,Administrators,97.3,86.6
23,Middlesex,1290,Edison Township School District,Teachers,93.2,88.4
23,Middlesex,2150,Highland Park Boro School District,Administrators,92.3,86.6
23,Middlesex,2150,Highland Park Boro School District,Teachers,90.6,88.4
23,Middlesex,2370,Jamesburg Public School District,Administrators,33.3,86.6
23,Middlesex,2370,Jamesburg Public School District,Teachers,81.8,88.4
23,Middlesex,3120,Metuchen Public School District,Administrators,100.0,86.6
23,Middlesex,3120,Metuchen Public School District,Teachers,90.7,88.4
23,Middlesex,3140,Middlesex Borough School District,Administrators,78.6,86.6
23,Middlesex,3140,Middlesex Borough School District,Teachers,92.6,88.4
23,Middlesex,3145,Educational Services Commission of New Jersey,Administrators,57.7,86.6
23,Middlesex,3145,Educational Services Commission of New Jersey,Teachers,72.2,88.4
23,Middlesex,3150,Middlesex County Vocational and Technical School District,Administrators,88.5,86.6
23,Middlesex,3150,Middlesex County Vocational and Technical School District,Teachers,77.8,88.4
23,Middlesex,3220,Milltown School District,Administrators,100.0,86.6
23,Middlesex,3220,Milltown School District,Teachers,78.1,88.4
23,Middlesex,3290,Monroe Township School District,Administrators,86.7,86.6
23,Middlesex,3290,Monroe Township School District,Teachers,87.3,88.4
23,Middlesex,3530,New Brunswick School District,Administrators,89.1,86.6
23,Middlesex,3530,New Brunswick School District,Teachers,85.8,88.4
23,Middlesex,3620,North Brunswick Township School District,Administrators,89.3,86.6
23,Middlesex,3620,North Brunswick Township School District,Teachers,89.4,88.4
23,Middlesex,3845,Old Bridge Township School District,Administrators,94.7,86.6
23,Middlesex,3845,Old Bridge Township School District,Teachers,91.1,88.4
23,Middlesex,4090,Perth Amboy Public School District,Administrators,76.1,86.6
23,Middlesex,4090,Perth Amboy Public School District,Teachers,88.3,88.4
23,Middlesex,4130,Piscataway Township School District,Administrators,87.0,86.6
23,Middlesex,4130,Piscataway Township School District,Teachers,85.9,88.4
23,Middlesex,4660,Sayreville School District,Administrators,97.1,86.6
23,Middlesex,4660,Sayreville School District,Teachers,89.3,88.4
23,Middlesex,4830,South Amboy School District,Administrators,42.9,86.6
23,Middlesex,4830,South Amboy School District,Teachers,87.2,88.4
23,Middlesex,4860,South Brunswick School District,Administrators,87.3,86.6
23,Middlesex,4860,South Brunswick School District,Teachers,88.6,88.4
23,Middlesex,4910,South Plainfield School District,Administrators,80.0,86.6
23,Middlesex,4910,South Plainfield School District,Teachers,88.4,88.4
23,Middlesex,4920,South River Public School District,Administrators,94.1,86.6
23,Middlesex,4920,South River Public School District,Teachers,87.6,88.4
23,Middlesex,4970,Spotswood Public School District,Administrators,100.0,86.6
23,Middlesex,4970,Spotswood Public School District,Teachers,90.5,88.4
23,Middlesex,5850,Woodbridge Township School District,Administrators,94.0,86.6
23,Middlesex,5850,Woodbridge Township School District,Teachers,95.2,88.4
25,Monmouth,0100,Asbury Park School District,Administrators,82.4,86.6
25,Monmouth,0100,Asbury Park School District,Teachers,86.6,88.4
25,Monmouth,0130,Atlantic Highlands School District,Administrators,80.0,86.6
25,Monmouth,0130,Atlantic Highlands School District,Teachers,83.3,88.4
25,Monmouth,0180,Avon Boro School District,Administrators,25.0,86.6
25,Monmouth,0180,Avon Boro School District,Teachers,80.0,88.4
25,Monmouth,0225,Bayshore Jointure Commission School District,Administrators,100.0,86.6
25,Monmouth,0225,Bayshore Jointure Commission School District,Teachers,80.0,88.4
25,Monmouth,0270,Belmar Elementary School District,Administrators,75.0,86.6
25,Monmouth,0270,Belmar Elementary School District,Teachers,98.2,88.4
25,Monmouth,0500,Bradley Beach School District,Administrators,50.0,86.6
25,Monmouth,0500,Bradley Beach School District,Teachers,89.7,88.4
25,Monmouth,0560,Brielle Boro School District,Administrators,75.0,86.6
25,Monmouth,0560,Brielle Boro School District,Teachers,94.2,88.4
25,Monmouth,0945,Colts Neck Township School District,Administrators,71.4,86.6
25,Monmouth,0945,Colts Neck Township School District,Teachers,70.8,88.4
25,Monmouth,1000,Deal Boro School District,Administrators,100.0,86.6
25,Monmouth,1000,Deal Boro School District,Teachers,90.0,88.4
25,Monmouth,1260,Eatontown Public School District,Administrators,87.5,86.6
25,Monmouth,1260,Eatontown Public School District,Teachers,90.1,88.4
25,Monmouth,1440,Fair Haven School District,Administrators,85.7,86.6
25,Monmouth,1440,Fair Haven School District,Teachers,89.7,88.4
25,Monmouth,1490,Farmingdale Public School District,Administrators,100.0,86.6
25,Monmouth,1490,Farmingdale Public School District,Teachers,92.3,88.4
25,Monmouth,1640,Freehold Borough School District,Administrators,90.0,86.6
25,Monmouth,1640,Freehold Borough School District,Teachers,90.3,88.4
25,Monmouth,1650,Freehold Regional High School District,Administrators,92.9,86.6
25,Monmouth,1650,Freehold Regional High School District,Teachers,91.3,88.4
25,Monmouth,1660,Freehold Township School District,Administrators,91.7,86.6
25,Monmouth,1660,Freehold Township School District,Teachers,91.0,88.4
