"","County.Name","District.Code","District.Name","grad.rate.poor","grad.rate.Eng.learners","grad.rate.all","count.poor","count.Eng.learners","count.all"
"39","Bergen",4380,"Ridgefield Park Public School District",93,92.3,92.9,129,26,241
"40","Bergen",4390,"Ridgewood Public School District",78.3,NA,97.1,23,NA,476
"41","Bergen",4405,"River Dell Regional School District",NA,NA,98.4,NA,NA,256
"42","Bergen",4600,"Rutherford School District",83.3,NA,92.8,12,NA,181
"43","Bergen",4610,"Saddle Brook School District",83.8,90,90.3,37,10,134
"44","Bergen",5150,"Teaneck School District",95.3,94.4,96.1,148,18,333
"45","Bergen",5160,"Tenafly Public School District",NA,100,96.6,NA,18,324
"46","Bergen",5410,"Waldwick School District",NA,NA,95.3,NA,NA,128
"47","Bergen",5430,"Wallington Boro School District",93.8,NA,97,32,NA,100
"48","Bergen",5755,"Westwood Regional School District",95,NA,96.7,40,NA,215
"49","Bergen",5830,"Wood-Ridge School District",81.8,NA,88.1,33,NA,109
"50","Burlington",475,"Bordentown Regional School District",90.4,NA,96.1,52,NA,205
"51","Burlington",600,"Burlington City Public School District",81.4,71.4,82,86,14,133
"52","Burlington",610,"Burlington County Institute Of Technology School District",90,NA,93.7,240,NA,490
"53","Burlington",620,"Burlington Township School District",87.4,NA,92.9,87,NA,325
"54","Burlington",840,"Cinnaminson Township School District",80.4,NA,93.9,51,NA,197
"55","Burlington",1060,"Delran Township School District",80.3,72.2,92.5,66,18,266
"56","Burlington",1520,"Florence Township School District",97.7,NA,98.2,43,NA,113
"57","Burlington",2610,"Lenape Regional High School District",92.1,78.6,96.2,279,14,1737
"58","Burlington",3010,"Maple Shade School District",75.8,70,84.9,62,10,139
"59","Burlington",3360,"Moorestown Township Public School District",95.1,NA,97.9,41,NA,328
"60","Burlington",3690,"Northern Burlington County Regional School District",85,NA,95.7,40,NA,346
"61","Burlington",3920,"Palmyra Public School District",100,NA,94.3,41,NA,105
"62","Burlington",4050,"Pemberton Township School District",97.2,NA,96.3,141,NA,241
"63","Burlington",4320,"Rancocas Valley Regional High School District",79.8,NA,90.5,168,NA,548
"64","Burlington",4450,"Riverside Township School District",76.8,52.9,81.6,56,17,98
"65","Burlington",5805,"Willingboro Public School District",72.7,NA,74.3,128,NA,167
"66","Camden",150,"Audubon Public School District",73.5,NA,85.6,49,NA,160
"67","Camden",390,"Black Horse Pike Regional School District",81.7,68.2,86.7,383,22,918
"68","Camden",680,"Camden City School District",69.7,41.7,66.3,402,72,508
"69","Camden",700,"Camden County Technical School District",95.6,NA,96.5,365,NA,516
"70","Camden",800,"Cherry Hill School District",90.9,68,94.7,253,25,922
"71","Camden",940,"Collingswood Public School District",80.9,NA,88.2,68,NA,170
"72","Camden",1255,"Eastern Camden County Regional School District",82.8,NA,93.6,99,NA,487
"73","Camden",1770,"Gloucester City Public School District",78.3,NA,82.2,106,NA,157
"74","Camden",1802,"Mastery Schools Of Camden Inc.",74.6,60.6,74.9,169,33,171
"75","Camden",1880,"Haddon Heights School District",91.9,NA,97.4,62,NA,229
"76","Camden",1890,"Haddon Township School District",89.2,NA,94.2,37,NA,155
"77","Camden",1900,"Haddonfield School District",NA,NA,97.8,NA,NA,230
"78","Camden",2670,"Lindenwold Public School District",62.3,42.9,65.1,130,35,149
"79","Camden",4060,"Pennsauken Township Board Of Education School District",84.6,81.8,84.5,285,44,386
"80","Camden",4110,"Pine Hill School District",86.9,NA,86.8,99,NA,167
"81","Camden",5035,"Sterling Regional School District",90.3,NA,92.7,93,NA,245
"82","Camden",5820,"Winslow Township School District",72.4,NA,78.3,199,NA,318
"83","Cape May",720,"Cape May County Technical High School District",95.2,NA,96.9,42,NA,127
"84","Cape May",2820,"Lower Cape May Regional School District",68.4,NA,81.2,98,NA,197
"85","Cape May",3130,"Middle Township Public School District",85.9,NA,90.3,99,NA,207
"86","Cape May",3780,"Ocean City School District",86.5,NA,93.7,52,NA,315
"87","Cape May",5790,"Wildwood City School District",81.5,NA,79.2,65,NA,72
"88","Cumberland",540,"Bridgeton City School District",84.7,65.6,82.6,366,61,385
"89","Cumberland",997,"Cumberland Regional School District",88.7,NA,92.1,159,NA,277
"90","Cumberland",3230,"Millville School District",85.7,84.6,87.2,307,13,429
"91","Cumberland",5390,"Vineland Public School District",75.3,66.2,77.1,494,71,652
"92","Essex",250,"Belleville Public School District",94.2,91.1,94.3,260,45,367
"93","Essex",410,"Bloomfield Township School District",92.9,89.2,93.1,239,37,477
"94","Essex",660,"Caldwell-West School District",100,NA,97.4,33,NA,230
"95","Essex",760,"Cedar Grove Township School District",NA,NA,95.6,NA,NA,136
"96","Essex",1210,"East Orange School District",83.9,83.8,83.4,577,68,663
"97","Essex",1390,"Essex County Schools Of Technology",97.9,97.1,97.7,517,69,566
"98","Essex",1750,"Glen Ridge Public School District",NA,NA,99.3,NA,NA,142
"99","Essex",2330,"Irvington Public School District",82.1,76.3,78.4,335,80,426
"100","Essex",2730,"Livingston Board Of Education School District",88.9,NA,98.5,18,NA,456
"101","Essex",3190,"Millburn Township School District",86.7,100,96.3,15,11,327
"102","Essex",3310,"Montclair Public School District",86.9,NA,95,99,NA,503
"103","Essex",3570,"Newark Public School District",86.2,83.9,85.1,2299,483,2538
"104","Essex",3750,"Nutley Public School District",94.2,NA,93.3,69,NA,326
"105","Essex",3880,"Orange Board Of Education School District",78.9,57.3,77.1,303,89,340
"106","Essex",4900,"South Orange-Maplewood School District",82.4,72.7,90.7,119,11,495
"107","Essex",5370,"Verona Public School District",NA,NA,97.2,NA,NA,177
"108","Essex",5630,"West Essex Regional School District",92,NA,98.5,25,NA,275
"109","Essex",5680,"West Orange Public Schools",88.6,72.4,88.2,378,29,560
"110","Gloucester",860,"Clayton Public School District",90.6,NA,92.9,64,NA,112
"111","Gloucester",870,"Clearview Regional High School District",95,NA,98.1,60,NA,365
"112","Gloucester",1100,"Deptford Township Public School District",84.3,NA,88.5,127,NA,262
"113","Gloucester",1715,"Gateway Regional High School District",90.7,NA,92.8,54,NA,152
"114","Gloucester",1730,"Glassboro School District",94.3,NA,93.6,87,NA,157
"115","Gloucester",2440,"Kingsway Regional School District",93.4,NA,96.5,76,NA,460
"116","Gloucester",3280,"Monroe Township Public School District",83.1,NA,90.7,172,NA,453
"117","Gloucester",4020,"Paulsboro School District",79.7,NA,79.5,79,NA,88
"118","Gloucester",4140,"Pitman Boro School District",81.8,NA,94.3,22,NA,88
"119","Gloucester",4940,"Delsea Regional High School District",88.2,NA,93.3,76,NA,252
"120","Gloucester",5500,"Washington Township School District",89.4,NA,93.6,161,NA,611
"121","Gloucester",5620,"West Deptford Township School District",79.7,NA,90.7,69,NA,227
"122","Gloucester",5860,"Woodbury City Public School District",84.6,63.6,83.5,78,11,115
"123","Hudson",220,"Bayonne School District",84.9,86.7,86.8,438,60,620
"124","Hudson",2060,"Harrison Public Schools",88.4,76.2,86.4,164,42,184
"125","Hudson",2210,"Hoboken Public School District",93.1,NA,92.7,72,NA,96
"126","Hudson",2295,"Hudson County Schools Of Technology School District",98.4,NA,99,314,NA,586
"127","Hudson",2390,"Jersey City Public Schools",77.7,67,78,1320,264,1631
"128","Hudson",2410,"Kearny",90.2,85.7,91.1,297,56,440
"129","Hudson",3610,"North Bergen School District",78.8,66.4,78.2,458,116,620
"130","Hudson",4730,"Secaucus School District",91.7,NA,90.4,48,NA,135
