"","income","educ","cntrep_opinions","cntrep_help","contact_rep","pid3.recode","women","race.eth","age"
"272",3,6,0,0,0,1,1,1,60
"273",2,5,1,0,1,3,1,1,48
"274",1,4,1,0,1,1,1,1,68
"275",1,4,0,0,0,1,1,1,75
"276",3,5,1,1,2,1,1,1,67
"277",4,6,0,0,0,3,0,1,56
"278",2,6,0,0,0,1,0,1,79
"279",1,3,0,1,1,1,0,5,65
"280",NA,6,0,0,0,2,1,1,54
"281",2,6,0,0,0,3,1,1,71
"282",2,5,0,0,0,3,0,1,32
"283",1,5,0,0,0,2,0,1,65
"284",1,4,0,0,0,1,1,2,62
"285",2,5,1,0,1,3,0,1,68
"286",1,6,0,0,0,1,1,1,78
"287",1,5,0,1,1,1,1,1,71
"288",1,3,0,0,0,3,0,1,68
"289",1,3,1,0,1,1,1,1,61
"290",1,5,0,0,0,1,0,1,55
"291",1,1,0,0,0,3,0,1,59
"292",1,3,0,0,0,3,1,1,62
"293",1,4,0,0,0,2,0,1,66
"294",NA,3,1,0,1,2,1,1,60
"295",3,3,0,0,0,3,0,1,67
"296",1,1,0,0,0,1,1,1,67
"297",4,4,0,0,0,3,1,1,66
"298",1,5,0,0,0,1,0,1,23
"299",2,3,0,0,0,3,1,1,70
"300",1,5,0,0,0,2,1,1,46
"301",3,6,0,0,0,2,1,1,31
"302",1,4,1,0,1,2,1,1,72
"303",2,5,1,1,2,3,0,3,62
"304",NA,2,1,1,2,3,1,1,74
"305",2,3,1,1,2,2,0,1,58
"306",1,1,0,0,0,2,1,1,54
"307",2,6,1,1,2,2,0,1,84
"308",1,6,0,0,0,1,1,2,59
"309",3,5,0,0,0,1,1,1,55
"310",1,5,0,0,0,3,0,1,62
"311",2,6,0,0,0,3,1,5,43
"312",3,6,0,0,0,1,1,1,31
"313",2,6,1,1,2,2,0,1,43
"314",1,4,0,0,0,3,0,1,60
"315",1,5,1,0,1,1,1,1,79
"316",NA,5,1,1,2,1,0,1,78
"317",1,5,0,0,0,2,1,1,83
"318",1,6,1,0,1,3,1,1,65
"319",1,4,0,0,0,2,0,1,61
"320",1,2,0,0,0,1,1,1,66
"321",1,3,0,0,0,1,1,5,55
"322",1,3,0,0,0,1,1,5,63
"323",1,5,1,0,1,1,1,1,73
"324",1,4,1,0,1,3,1,5,34
"325",1,5,0,0,0,2,0,3,82
"326",1,2,0,0,0,2,1,1,66
"327",2,3,1,1,2,1,1,1,68
"328",2,3,1,0,1,1,0,1,63
"329",1,5,0,1,1,1,1,1,78
"330",1,3,0,0,0,1,1,2,46
"331",3,3,1,0,1,1,0,1,71
"332",1,3,0,1,1,3,1,1,57
"333",NA,5,0,0,0,1,1,2,57
"334",1,3,1,1,2,1,0,1,32
"335",1,2,1,0,1,1,0,2,65
"336",1,5,0,0,0,3,0,4,68
"337",1,2,0,0,0,2,0,1,43
"338",4,3,1,1,2,3,0,1,47
"339",2,5,0,0,0,3,1,1,44
"340",3,3,1,0,1,2,0,1,56
"341",2,4,1,0,1,3,0,1,75
"342",NA,6,1,1,2,1,1,1,77
"343",2,2,1,0,1,3,0,1,55
"344",3,5,1,0,1,3,0,1,66
"345",2,4,0,0,0,1,1,1,58
"346",1,2,0,0,0,1,1,2,59
